SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,LOCATION OF BUILDING ON THE LOT (IF GARAGE CHANGE TYPE CODE TO BGD).,IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,IF THE BUILDING IS OPEN WHERE IS THE ENTRY POINT?,IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,ANY PEOPLE USING PROPERTY? (HOMELESS or CHILDEN or GANGS),ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
Vacant/Abandoned Building,15-02658221,06/12/2015,Front,,Open,FRONT,Vacant,false,true,6611,S,HALSTED,ST,60621,1172108.1278027,1860979.20993102,6,7,68,41.77397447210011,-87.6446363391006,"(41.77397447210011, -87.6446363391006)"
Vacant/Abandoned Building,15-02660296,06/12/2015,Front,,Open,FRONT AND REAR DOOR,Vacant,false,true,10207,S,PERRY,AVE,60628,1177398.77797773,1837282.11721539,9,5,49,41.708828846235726,-87.62595602753132,"(41.708828846235726, -87.62595602753132)"
Vacant/Abandoned Building,15-02664014,06/12/2015,Front,,Open,BACK DOOR,Vacant,false,true,11235,S,EGGLESTON,AVE,60628,1175297.33742545,1830402.65658197,34,22,49,41.68999770616935,-87.63385627833848,"(41.68999770616935, -87.63385627833848)"
Vacant/Abandoned Building,15-02664457,06/12/2015,,,,,,,,1426,S,RIDGEWAY,AVE,60623,1151610.19360333,1892838.53009628,24,10,29,41.861826705431184,-87.71894327341037,"(41.861826705431184, -87.71894327341037)"
Vacant/Abandoned Building,15-02662142,06/12/2015,Front,,Open,BOARDED JUST IN REAR - FILLED WITH WEEDS,Vacant,false,false,9122,S,WOODLAWN,AVE,60619,1185804.93997973,1844742.53998662,8,4,47,41.72910748359699,-87.5949378583769,"(41.72910748359699, -87.5949378583769)"
Vacant/Abandoned Building,15-02661910,06/12/2015,,,,,,,,3613,W,58TH,ST,60629,1153228.44878033,1865911.49771851,23,8,62,41.7879034599658,-87.71371575117482,"(41.7879034599658, -87.71371575117482)"
Vacant/Abandoned Building,15-02665010,06/12/2015,Front,,Open,WINDOWS ARE NOT BOARDED,Vacant,false,true,7306,S,PAULINA,ST,60636,1166277.20120637,1856254.27101043,17,7,67,41.76113475668387,-87.66614573491282,"(41.76113475668387, -87.66614573491282)"
Vacant/Abandoned Building,15-02668397,06/12/2015,Front,,Open,,Vacant,false,false,8106,S,KINGSTON,AVE,60617,1194588.64351769,1851716.55158812,7,4,46,41.74803348863574,-87.5625327367461,"(41.74803348863574, -87.5625327367461)"
Vacant/Abandoned Building,15-02665631,06/12/2015,Rear,,Open,REAR,Vacant,false,true,5227,S,CARPENTER,ST,60609,1170200.78331295,1870146.21707998,20,9,61,41.79917150384515,-87.65136173319387,"(41.79917150384515, -87.65136173319387)"
Vacant/Abandoned Building,15-02661197,06/12/2015,Front,,Open,FRONT,Vacant,false,true,2150,W,71ST,PL,60636,1163599.3299667,1857230.48997934,17,7,67,41.763870214599464,-87.67593301362936,"(41.763870214599464, -87.67593301362936)"
Vacant/Abandoned Building,15-02663528,06/12/2015,Front,,Open,A HAZARD,Vacant,false,false,4435,N,DRAKE,AVE,60625,1151924.4839071,1929246.94382166,35,17,14,41.96172855386839,-87.7168289038954,"(41.96172855386839, -87.7168289038954)"
Vacant/Abandoned Building,15-02658979,06/12/2015,Front,,Boarded,,Vacant,false,false,4340,W,47TH,ST,60632,1148066.27032568,1873110.28521543,14,8,57,41.807758571598505,-87.73245912896532,"(41.807758571598505, -87.73245912896532)"
Vacant/Abandoned Building,15-02669101,06/12/2015,Front,,Boarded,,Vacant,false,false,10458,S,STATE,ST,60628,1178106.93673194,1835386.23990304,34,5,49,41.70361030410902,-87.62341993358032,"(41.70361030410902, -87.62341993358032)"
Vacant/Abandoned Building,15-02663054,06/12/2015,Front,,Open,ALL AROUND,Vacant,false,true,8731,S,WABASH,AVE,60619,1178236.82038827,1847119.60017397,9,6,44,41.73580524554704,-87.6225896241143,"(41.73580524554704, -87.6225896241143)"
Vacant/Abandoned Building,15-02662531,06/12/2015,Front,,Open,"FRONT/REAR DOORS, WINDOWS",Vacant,false,true,8732,S,WABASH,AVE,60619,1178237.02038827,1847112.90017397,9,6,44,41.73578685538771,-87.62258909410231,"(41.73578685538771, -87.62258909410231)"
Vacant/Abandoned Building,15-02662562,06/12/2015,Front,,Boarded,,Vacant,false,false,8726,S,SAGINAW,AVE,60617,1195392.21997806,1847629.32441931,7,4,46,41.736798014171775,-87.55972287257678,"(41.736798014171775, -87.55972287257678)"
Vacant/Abandoned Building,15-02662067,06/12/2015,Front,,Open,FRONT,Vacant,true,false,6652,S,MICHIGAN,AVE,60637,1178083.78163371,1860925.63712637,20,3,69,41.77369405925566,-87.62273252449191,"(41.77369405925566, -87.62273252449191)"
Vacant/Abandoned Building,15-02663832,06/12/2015,Front,,Open,,Vacant,false,true,10035,S,PEORIA,ST,60643,1172084.29802212,1838286.06918329,34,22,73,41.7117019943388,-87.64538873860097,"(41.7117019943388, -87.64538873860097)"
Vacant/Abandoned Building,15-02664426,06/12/2015,,,,,,,,4041,W,JACKSON,BLVD,60624,1149495.62359276,1898380.18207152,28,11,26,41.87707490806031,-87.7265617811186,"(41.87707490806031, -87.7265617811186)"
Vacant/Abandoned Building,15-02662655,06/12/2015,Front,,Open,"FRONT/REAER DOORS, WINDOWS",Vacant,false,true,8737,S,WABASH,AVE,60619,1178237.92038827,1847079.40017397,9,6,44,41.73569490685638,-87.6225868104057,"(41.73569490685638, -87.6225868104057)"
Vacant/Abandoned Building,15-02668887,06/12/2015,Front,,Open,SIDE DOOR...,Vacant,false,false,2124,S,CENTRAL PARK,AVE,60623,1152697.49849319,1889623.16522758,24,10,29,41.85298194809449,-87.71503692620972,"(41.85298194809449, -87.71503692620972)"
Vacant/Abandoned Building,15-02661900,06/12/2015,Front,,Boarded,DOOR HAS BEEN BROKEN DOWN.,Vacant,false,true,3050,E,93RD,ST,60617,1198228.91999535,1843880.47141224,10,4,46,41.72644042147987,-87.54945541499688,"(41.72644042147987, -87.54945541499688)"
Vacant/Abandoned Building,15-02667428,06/12/2015,Garage,,Open,2 ND FL,Vacant,false,false,8056,S,GREEN,ST,60620,1172038.17722631,1851429.56077447,21,6,71,41.74777058215802,-87.64517281175678,"(41.74777058215802, -87.64517281175678)"
Vacant/Abandoned Building,15-02660144,06/12/2015,Rear,,Open,,Vacant,false,false,1528,S,HOMAN,AVE,60623,1153948.99751846,1892314.71458848,24,10,29,41.86034304771398,-87.71037181190927,"(41.86034304771398, -87.71037181190927)"
Vacant/Abandoned Building,15-02665529,06/12/2015,Front,,Open,,Vacant,false,true,6808,S,GREEN,ST,60621,1171810.93462127,1859706.1499898,6,7,68,41.77048756912575,-87.64576309739995,"(41.77048756912575, -87.64576309739995)"
Vacant/Abandoned Building,15-02669515,06/12/2015,Front,,Open,SIDE,Vacant,false,true,7138,S,HONORE,ST,60636,1165253.22459415,1857343.96848799,17,7,67,41.76414676918688,-87.66986788759856,"(41.76414676918688, -87.66986788759856)"
Vacant/Abandoned Building,15-02662158,06/12/2015,Front,,Open,FILLED WITH WEEDS,Vacant,false,false,9116,S,WOODLAWN,AVE,60619,1185804.13997973,1844783.33998662,8,4,47,41.72921946211008,-87.59493950681241,"(41.72921946211008, -87.59493950681241)"
Vacant/Abandoned Building,15-02658459,06/12/2015,Front,,Open,REAR DOOR,Vacant,false,true,7308,S,WOOD,ST,60636,1165615.8422097,1856225.83258157,17,7,67,41.76107076816287,-87.66857047395045,"(41.76107076816287, -87.66857047395045)"
Vacant/Abandoned Building,15-02661940,06/12/2015,Front,,Open,,Vacant,false,false,11821,S,MORGAN,ST,60643,1171786.54141364,1826431.8600898,34,5,53,41.67917870826697,-87.64682521676474,"(41.67917870826697, -87.64682521676474)"
Vacant/Abandoned Building,15-02644421,06/11/2015,,,,,,,,515,W,62ND,ST,60621,1173862.75922024,1863817.21269121,20,7,68,41.78172353266733,-87.63812012298459,"(41.78172353266733, -87.63812012298459)"
Vacant/Abandoned Building,15-02643669,06/11/2015,Front,,Boarded,,Vacant,false,false,5143,S,HERMITAGE,AVE,,1165549.62570062,1870592.00177003,16,9,61,41.8004947847127,-87.66840601338191,"(41.8004947847127, -87.66840601338191)"
Vacant/Abandoned Building,15-02630770,06/11/2015,Rear,,Open,,Vacant,true,false,5212,S,PEORIA,ST,60609,1171191.49988108,1870277.4736709,20,9,61,41.79951005964307,-87.64772470649955,"(41.79951005964307, -87.64772470649955)"
Vacant/Abandoned Building,15-02645439,06/11/2015,Front,,Boarded,,Vacant,false,false,162,E,122ND,PL,60628,1179516.14691184,1823770.97980539,9,5,53,41.67170436378036,-87.61861260112049,"(41.67170436378036, -87.61861260112049)"
Vacant/Abandoned Building,15-02643900,06/11/2015,Front,,Open,FRONT DOOR,Vacant,false,true,656,E,90TH,ST,60619,1182187.94283155,1845446.31298192,8,6,44,41.73112310067946,-87.60816595671471,"(41.73112310067946, -87.60816595671471)"
Vacant/Abandoned Building,15-02643986,06/11/2015,Garage,,Open,DOORS,Vacant,false,false,1332,E,89TH,ST,60619,1186678.53007687,1846236.13683425,8,4,48,41.733185463871514,-87.59169057923752,"(41.733185463871514, -87.59169057923752)"
Vacant/Abandoned Building,15-02643014,06/11/2015,Rear,,Open,,Vacant,false,false,1417,W,AUGUSTA,BLVD,60642,1166762.14672341,1906782.61437656,2,12,24,41.89977933951881,-87.66292314800643,"(41.89977933951881, -87.66292314800643)"
Vacant/Abandoned Building,15-02644412,06/11/2015,,,,,,,,5739,S,LOWE,AVE,60621,1172945.31801175,1866830.38581758,20,7,68,41.790012318074425,-87.64139477258533,"(41.790012318074425, -87.64139477258533)"
Vacant/Abandoned Building,15-02645143,06/11/2015,Front,,Boarded,NONE,Vacant,false,false,10725,S,STATE,ST,60628,1178152.2298961,1833856.4949831,9,5,49,41.699411444772835,-87.62330026225729,"(41.699411444772835, -87.62330026225729)"
Vacant/Abandoned Building,15-02635043,06/11/2015,Front,,Boarded,,Vacant,false,false,6134,S,TRIPP,AVE,60629,1149090.18161377,1863585.83993047,13,8,65,41.78160232389896,-87.72894924599024,"(41.78160232389896, -87.72894924599024)"
Vacant/Abandoned Building,15-02635552,06/11/2015,Front,,Boarded,,Vacant,false,false,2416,N,CAMPBELL,AVE,60647,1159293.538325,1916038.241425,1,14,22,41.925334370827414,-87.69010044850414,"(41.925334370827414, -87.69010044850414)"
Vacant/Abandoned Building,15-02645418,06/11/2015,Front,,Open,FRONT,Vacant,false,true,6624,S,PERRY,AVE,60621,1176536.43142991,1861067.17200593,6,7,69,41.77411739064915,-87.62840049123443,"(41.77411739064915, -87.62840049123443)"
Vacant/Abandoned Building,15-02653331,06/11/2015,Garage,,Open,REAR,Vacant,false,false,438,W,80TH,ST,60620,1174715.82892956,1851877.40099302,17,6,44,41.74894032692376,-87.63534778858536,"(41.74894032692376, -87.63534778858536)"
Vacant/Abandoned Building,15-02636170,06/11/2015,Garage,,Open,,Vacant,false,false,7711,S,HOMAN,AVE,60652,1155042.83179449,1853258.76877151,18,8,70,41.753146346469904,-87.70740070612237,"(41.753146346469904, -87.70740070612237)"
Vacant/Abandoned Building,15-02646861,06/11/2015,Front,,Open,FRONT,Vacant,false,false,4551,S,WABASH,AVE,60653,1177476.66700898,1874897.04241304,3,2,38,41.812046699604196,-87.6245357947748,"(41.812046699604196, -87.6245357947748)"
Vacant/Abandoned Building,15-02644425,06/11/2015,,,,,,,,1223,W,73RD,PL,60636,1169389.43349488,1856046.48998678,17,7,67,41.76049777325527,-87.65474518544916,"(41.76049777325527, -87.65474518544916)"
Vacant/Abandoned Building,15-02630772,06/11/2015,Garage,,Open,,Vacant,false,false,5144,S,MARSHFIELD,AVE,60609,1166211.85242812,1870597.36279659,16,9,61,41.80049541288893,-87.66597726281375,"(41.80049541288893, -87.66597726281375)"
Vacant/Abandoned Building,15-02642717,06/11/2015,Front,,Open,,Vacant,false,false,7820,S,MARYLAND,AVE,60619,1183257.82818484,1853338.77121234,8,6,69,41.75275606710356,-87.60400157639573,"(41.75275606710356, -87.60400157639573)"
Vacant/Abandoned Building,15-02637680,06/11/2015,Front,,Open,,Vacant,false,true,8108,S,KINGSTON,AVE,60617,1194588.94351769,1851703.15158812,7,4,46,41.74799671058493,-87.56253207733289,"(41.74799671058493, -87.56253207733289)"
Vacant/Abandoned Building,15-02647745,06/11/2015,Rear,,Open,REAR  BACK DOOR OPEN,Vacant,false,true,8112,S,MAY,ST,60620,1170063.35251246,1851006.97749826,21,6,71,41.74665406968148,-87.65242142853317,"(41.74665406968148, -87.65242142853317)"
Vacant/Abandoned Building,15-02636941,06/11/2015,Front,,Open,REAR DOOR,Vacant,false,false,9001,S,JEFFERY,BLVD,60617,1191079.63852053,1845684.23153022,8,4,48,41.73156578445484,-87.57558526636166,"(41.73156578445484, -87.57558526636166)"
Vacant/Abandoned Building,15-02636936,06/11/2015,Front,,Open,,Vacant,false,true,1835,W,WABANSIA,AVE,60622,1163738.10350647,1911345.04182544,2,14,24,41.91236327499013,-87.6739016305623,"(41.91236327499013, -87.6739016305623)"
Vacant/Abandoned Building,15-02644417,06/11/2015,,,,,,,,239,W,58TH,ST,60621,1175550.4499806,1866433.91003096,20,7,68,41.78886641528892,-87.63185439966115,"(41.78886641528892, -87.63185439966115)"
Vacant/Abandoned Building,15-02635788,06/11/2015,Front,,Open,,Vacant,false,false,5900,N,PAULINA,ST,60660,1164160.35809531,1939054.33200324,40,20,77,41.9883900040467,-87.67156437578137,"(41.9883900040467, -87.67156437578137)"
Vacant/Abandoned Building,15-02639247,06/11/2015,Rear,,Open,,Vacant,false,false,12712,S,ESCANABA,AVE,60633,1197405.3041992,1821264.11429554,10,4,55,41.66439943542183,-87.55322266570147,"(41.66439943542183, -87.55322266570147)"
Vacant/Abandoned Building,15-02631802,06/11/2015,Front,,Open,,Vacant,true,false,4856,S,MAY,ST,60609,1169471.87996673,1872600.76998466,20,9,61,41.805922904254,-87.65396364605631,"(41.805922904254, -87.65396364605631)"
Vacant/Abandoned Building,15-02638396,06/11/2015,Front,,Open,WINDOWS,Vacant,false,false,1229,W,110TH,PL,60643,1170100.45308702,1831506.4257708,34,22,75,41.69314085377664,-87.65285027410027,"(41.69314085377664, -87.65285027410027)"
Vacant/Abandoned Building,15-02653824,06/11/2015,Front,,Open,,Vacant,false,false,7215,S,HONORE,ST,60636,1165267.4103848,1856834.97707528,17,7,67,41.76274972656457,-87.66983028324444,"(41.76274972656457, -87.66983028324444)"
Vacant/Abandoned Building,15-02631793,06/11/2015,Front,,Boarded,,Vacant,false,false,1702,W,THORNDALE,AVE,60660,1164139.75809531,1939053.63200324,40,20,77,41.988388519990124,-87.67164016430695,"(41.988388519990124, -87.67164016430695)"
Vacant/Abandoned Building,15-02638869,06/11/2015,Front,,Open,,Vacant,false,false,6620,S,LOOMIS,BLVD,60636,1168134.61729285,1860851.74991348,16,7,67,41.77371110052821,-87.65920610118467,"(41.77371110052821, -87.65920610118467)"
Vacant/Abandoned Building,15-02618819,06/10/2015,,,,,,,,5508,W,QUINCY,ST,60644,1139851.72271478,1898459.99548097,29,15,25,41.877475556585324,-87.76196987663506,"(41.877475556585324, -87.76196987663506)"
Vacant/Abandoned Building,15-02610259,06/10/2015,Front,,Boarded,,Occupied,false,true,3122,W,TAYLOR,ST,60612,1155699.57919753,1895539.12108095,24,11,27,41.86915612966337,-87.70385904908697,"(41.86915612966337, -87.70385904908697)"
Vacant/Abandoned Building,15-02619911,06/10/2015,Front,,Open,FRONT AND REAR DOOR,Vacant,false,true,2919,W,61ST,ST,60629,1157888.79320975,1864053.47650623,16,8,66,41.78271135181675,-87.69667844389019,"(41.78271135181675, -87.69667844389019)"
Vacant/Abandoned Building,15-02617426,06/10/2015,Front,,Open,FRONT-REAR AND SIDE,Vacant,false,true,9621,S,EXCHANGE,AVE,60617,1197436.46950787,1841721.64768604,10,4,51,41.72053619047383,-87.55242990643383,"(41.72053619047383, -87.55242990643383)"
Vacant/Abandoned Building,15-02618577,06/10/2015,,,,,,,,752,W,MONTROSE,AVE,60613,1170429.10038189,1929435.52978197,46,19,3,41.96186054654157,-87.64879017193442,"(41.96186054654157, -87.64879017193442)"
Vacant/Abandoned Building,15-02615502,06/10/2015,Front,,Open,,Vacant,true,true,11335,S,EDBROOKE,AVE,60628,1179222.25842981,1829822.28958258,9,5,49,41.68831673957924,-87.61950472857616,"(41.68831673957924, -87.61950472857616)"
Vacant/Abandoned Building,15-02615777,06/10/2015,Front,,Open,FRONT AND REAR DOORS AND WINDOWS. AND GARAGE WIDE OPEN..,Vacant,false,true,9229,S,DOBSON,AVE,60619,1184828.55809962,1843997.03478883,8,4,47,41.72708466207728,-87.59853785682968,"(41.72708466207728, -87.59853785682968)"
Vacant/Abandoned Building,15-02621294,06/10/2015,Front,,Open,FRONT,Vacant,false,true,6501,S,JUSTINE,ST,60636,1167123.71787888,1861616.8018298,16,7,67,41.77583218572478,-87.66288998362893,"(41.77583218572478, -87.66288998362893)"
Vacant/Abandoned Building,15-02619243,06/10/2015,Front,,Open,,Vacant,false,true,4442,S,RICHMOND,ST,60632,1157439.88592611,1875051.41021949,15,9,58,41.812900290248145,-87.69802628059523,"(41.812900290248145, -87.69802628059523)"
Vacant/Abandoned Building,15-02617176,06/10/2015,Front,,Boarded,NONE,Vacant,false,false,7440,S,ELLIS,AVE,,1184037.165631,1855876.30369721,8,3,69,41.75970114722472,-87.60106650369835,"(41.75970114722472, -87.60106650369835)"
Vacant/Abandoned Building,15-02607102,06/10/2015,Rear,,Boarded,,Vacant,false,false,6626,S,UNIVERSITY,AVE,60637,1184690.93166876,1861296.14451155,5,3,42,41.77455840311625,-87.59850078575086,"(41.77455840311625, -87.59850078575086)"
Vacant/Abandoned Building,15-02619028,06/10/2015,Front,,Open,,Vacant,false,true,4440,S,RICHMOND,ST,60632,1157439.38592611,1875064.71021949,15,9,58,41.81293679730721,-87.6980277539627,"(41.81293679730721, -87.6980277539627)"
Vacant/Abandoned Building,15-02605088,06/10/2015,Front,,Open,FRONT,Vacant,false,true,6834,S,MORGAN,ST,60621,1170823.15099024,1859505.47706803,6,7,68,41.76995851060436,-87.6493897641329,"(41.76995851060436, -87.6493897641329)"
Vacant/Abandoned Building,15-02618861,06/10/2015,,,,,,,,3622,W,CHICAGO,AVE,60651,1152016.98082798,1905095.52840215,27,11,23,41.89545322947514,-87.71712697222765,"(41.89545322947514, -87.71712697222765)"
Vacant/Abandoned Building,15-02617218,06/10/2015,Front,,Open,,Vacant,false,true,2337,N,TRIPP,AVE,60639,1147663.85229679,1915199.63950876,31,25,20,41.92326460907876,-87.73285531323279,"(41.92326460907876, -87.73285531323279)"
Vacant/Abandoned Building,15-02621287,06/10/2015,Front,,Boarded,FRONT BSMT,Vacant,false,false,6558,S,JUSTINE,ST,60636,1167134.68601654,1861234.515302,16,7,67,41.774782907987664,-87.66286070139739,"(41.774782907987664, -87.66286070139739)"
Vacant/Abandoned Building,15-02616622,06/10/2015,Front,,Open,,Vacant,false,false,7356,S,ASHLAND,AVE,60636,1166959.54532273,1855852.83988148,17,7,67,41.760018625489394,-87.66365634464297,"(41.760018625489394, -87.66365634464297)"
Vacant/Abandoned Building,15-02617473,06/10/2015,Rear,,Open,REAR,Occupied,false,false,607,W,60TH,ST,60621,1173239.99989645,1864883.33219133,20,7,68,41.78466287713812,-87.64037180219083,"(41.78466287713812, -87.64037180219083)"
Vacant/Abandoned Building,15-02613774,06/10/2015,Front,,Open,,Vacant,false,true,12312,S,LA SALLE,ST,60628,1177491.74383015,1823307.32892331,9,5,53,41.67047787020749,-87.62603578170528,"(41.67047787020749, -87.62603578170528)"
Vacant/Abandoned Building,15-02617683,06/10/2015,Front,,Open,,Occupied,false,false,3600,W,57TH,ST,60629,1153289.92041749,1866574.75002404,23,8,62,41.78972230700099,-87.713472823783,"(41.78972230700099, -87.713472823783)"
Vacant/Abandoned Building,15-02611855,06/10/2015,Garage,,Open,GARAGE,Vacant,false,true,2719,S,CHRISTIANA,AVE,60623,1154470.6415253,1885740.20811935,22,10,30,41.842291436041975,-87.70863254419231,"(41.842291436041975, -87.70863254419231)"
Vacant/Abandoned Building,15-02613772,06/10/2015,Front,,Open,FRONT,Vacant,false,false,7352,S,STEWART,AVE,60621,1174898.11830449,1856187.19772446,6,7,68,41.760762872541925,-87.63455154191709,"(41.760762872541925, -87.63455154191709)"
Vacant/Abandoned Building,15-02612080,06/10/2015,Rear,,Open,,Vacant,false,false,5034,W,CARMEN,AVE,60630,1141854.45279493,1933443.39379583,45,16,12,41.97343680532027,-87.75374806864575,"(41.97343680532027, -87.75374806864575)"
Vacant/Abandoned Building,15-02609373,06/10/2015,Front,,Open,FRONT DOOR,Vacant,false,true,4453,N,DRAKE,AVE,60625,1151920.80216563,1929367.76560475,35,17,14,41.962060169675766,-87.71683924416708,"(41.962060169675766, -87.71683924416708)"
Vacant/Abandoned Building,15-02617680,06/10/2015,Front,,Open,,Vacant,false,false,3641,W,57TH,ST,60629,1153037.02041749,1866567.95002404,23,8,62,41.78970864660551,-87.7144003220927,"(41.78970864660551, -87.7144003220927)"
Vacant/Abandoned Building,15-02615459,06/10/2015,Front,,Open,,Vacant,true,true,11333,S,EDBROOKE,AVE,60628,1179221.85842981,1829836.48958258,9,5,49,41.68835571552439,-87.61950576217119,"(41.68835571552439, -87.61950576217119)"
Vacant/Abandoned Building,15-02617886,06/10/2015,Front,,Open,WINDOWS,Vacant,false,false,7609,S,CHAPPEL,AVE,60649,1191191.77121389,1854920.49067851,8,4,43,41.756908202243146,-87.57487625638696,"(41.756908202243146, -87.57487625638696)"
Vacant/Abandoned Building,15-02617505,06/10/2015,Rear,,Open,"FRONT WINDOWS IS BOARDED UP BUT THE DOORS IS OPEN, THERE IS A LOT OF BRICKS IN THE BACK YARD",Vacant,true,true,735,N,LOREL,AVE,60644,1140541.24560179,1904360.03289699,37,15,25,41.8936533741937,-87.75929318341002,"(41.8936533741937, -87.75929318341002)"
Vacant/Abandoned Building,15-02617739,06/10/2015,Front,,Open,REAR BSMT ENTRY,Vacant,false,true,2706,W,LEXINGTON,ST,60612,1158444.76531491,1896594.27429238,28,11,27,41.871995892635,-87.69375188204349,"(41.871995892635, -87.69375188204349)"
Vacant/Abandoned Building,15-02608061,06/10/2015,Front,,Open,FRONT,Vacant,false,false,10056,S,WENTWORTH,AVE,60628,1176716.37348716,1838264.32351174,9,5,49,41.711539513001924,-87.62842559954471,"(41.711539513001924, -87.62842559954471)"
Vacant/Abandoned Building,15-02618297,06/10/2015,,,,,,,,6547,S,CLAREMONT,AVE,60636,1161869.05399,1861177.104272,16,8,66,41.774736395163906,-87.68216538260587,"(41.774736395163906, -87.68216538260587)"
Vacant/Abandoned Building,15-02617614,06/10/2015,Front,,Open,,Occupied,false,false,3645,W,57TH,ST,60629,1153012.32041749,1866567.25002404,23,8,62,41.78970721361718,-87.714490909058,"(41.78970721361718, -87.714490909058)"
Vacant/Abandoned Building,15-02599745,06/09/2015,Front,,Open,FRONT,Vacant,false,true,1116,N,RIDGEWAY,AVE,60651,1151174.84529245,1907181.28663337,27,11,23,41.90119331329909,-87.72016520548385,"(41.90119331329909, -87.72016520548385)"
Vacant/Abandoned Building,15-02597925,06/09/2015,Front,,Boarded,,Vacant,false,true,8229,S,ELLIS,AVE,60619,1184326.28302762,1850637.01239762,8,6,44,41.745317240159316,-87.60017053309546,"(41.745317240159316, -87.60017053309546)"
Vacant/Abandoned Building,15-02583879,06/09/2015,Garage,,Open,,Vacant,false,false,7930,S,VERNON,AVE,60619,1180618.46249052,1852525.59928727,6,6,44,41.75058562339122,-87.61369861252703,"(41.75058562339122, -87.61369861252703)"
Vacant/Abandoned Building,15-02590435,06/09/2015,Front,,Open,FRONT AND REAR WINDOWS HAVE BEEN KNOCKED OUT..,Vacant,false,true,8553,S,BUFFALO,AVE,60617,1199625.26999738,1848883.39917771,10,4,46,41.74013382558394,-87.54417254328847,"(41.74013382558394, -87.54417254328847)"
Vacant/Abandoned Building,15-02585263,06/09/2015,Front,,Open,,Vacant,false,false,6801,S,UNION,AVE,60621,1172911.10249382,1859786.14881093,6,7,68,41.77068288949372,-87.64172797141045,"(41.77068288949372, -87.64172797141045)"
Vacant/Abandoned Building,15-02594827,06/09/2015,,,,,,,,11439,S,PERRY,AVE,60628,1177557.0113178,1828952.96997518,34,5,49,41.685968902025614,-87.625627193538,"(41.685968902025614, -87.625627193538)"
Vacant/Abandoned Building,15-02592556,06/09/2015,Rear,,Open,SIDE BASEMENT WINDOW OPEN,Vacant,false,false,8017,S,HERMITAGE,AVE,60620,1166073.77382639,1851530.30289781,21,6,71,41.74817585412809,-87.66702540314519,"(41.74817585412809, -87.66702540314519)"
Vacant/Abandoned Building,15-02599728,06/09/2015,Front,,Boarded,NONE,Vacant,false,false,4118,W,FLETCHER,ST,60641,1148340.89127815,1920625.31000919,31,25,21,41.938140096601366,-87.7302273753502,"(41.938140096601366, -87.7302273753502)"
Vacant/Abandoned Building,15-02590803,06/09/2015,Front,,Open,FRONT,Vacant,false,false,11334,S,EGGLESTON,AVE,60628,1175319.23036577,1829747.95869416,34,22,49,41.68820062751506,-87.63379559197774,"(41.68820062751506, -87.63379559197774)"
Vacant/Abandoned Building,15-02581348,06/09/2015,Rear,,Open,,Vacant,false,true,4901,W,IRVING PARK,RD,60641,1142950.78989427,1926143.63340312,45,16,15,41.95338523070865,-87.74989930325505,"(41.95338523070865, -87.74989930325505)"
Vacant/Abandoned Building,15-02593668,06/09/2015,Front,,Open,,Vacant,false,true,200,N,MICHIGAN,AVE,60601,1177262.02338118,1901755.70931063,42,1,32,41.88575363312355,-87.62450992743699,"(41.88575363312355, -87.62450992743699)"
Vacant/Abandoned Building,15-02596994,06/09/2015,Front,,Open,WINDOWS BASEMENT,Vacant,false,true,6128,S,MAPLEWOOD,AVE,60629,1160422.52672979,1863936.44580401,16,8,66,41.782338347515626,-87.68739217778281,"(41.782338347515626, -87.68739217778281)"
Vacant/Abandoned Building,15-02583224,06/09/2015,Garage,,Open,GARAGE DOOR,Vacant,false,false,4604,W,PATTERSON,AVE,60641,1144909.75997261,1923861.81998246,30,17,15,41.94708691680685,-87.74275568084296,"(41.94708691680685, -87.74275568084296)"
Vacant/Abandoned Building,15-02599597,06/09/2015,Front,,Open,FRONT,Vacant,false,false,7932,S,MANISTEE,AVE,60617,1195887.52007641,1852903.35746805,7,4,46,41.75125814672165,-87.55773413091546,"(41.75125814672165, -87.55773413091546)"
Vacant/Abandoned Building,15-02587049,06/09/2015,Rear,,Open,,Vacant,false,true,6622,S,RHODES,AVE,60637,1181040.49369864,1861225.27010717,20,3,42,41.774448730605236,-87.61188473183545,"(41.774448730605236, -87.61188473183545)"
Vacant/Abandoned Building,15-02598852,06/09/2015,Front,,Open,SIDE,Vacant,false,false,7957,S,COLES,AVE,60617,1198205.59546725,1852722.11991775,7,4,46,41.75070316220313,-87.54924577237972,"(41.75070316220313, -87.54924577237972)"
Vacant/Abandoned Building,15-02586996,06/09/2015,Front,,Open,FULL OF WEEDS AND UNKEPT,Vacant,false,false,6447,N,TROY,ST,60645,1154174.84358359,1942581.5475747,50,24,2,41.99827470431914,-87.70819747249831,"(41.99827470431914, -87.70819747249831)"
Vacant/Abandoned Building,15-02596230,06/09/2015,Front,,Open,,Vacant,false,true,11515,S,115TH ST,ER,60628,1183990.37259828,1828748.31550828,9,5,54,41.68525986206796,-87.60208252933012,"(41.68525986206796, -87.60208252933012)"
