,High School,# of SAT Takers in 2014,Avg SAT Critical Reading Score in 2014,Avg SAT Math Scores in 2014,Avg SAT Writing Scores in 2014
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",73,395,385,388
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,80,415,394,390
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,118,499,530,489
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,50,369,330,358
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,37,356,355,362
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,351,470,527,459
04M495,PARK EAST HIGH SCHOOL,69,403,405,403
04M555,CENTRAL PARK EAST HIGH SCHOOL,138,429,442,433
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,68,437,448,451
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,14,394,384,382
04M680,"HERITAGE SCHOOL, THE",48,360,368,366
05M285,HARLEM RENAISSANCE HIGH SCHOOL,27,381,392,383
05M304,MOTT HALL HIGH SCHOOL,54,412,385,411
05M362,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",90,541,568,533
05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,14,373,347,364
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,55,383,360,376
05M469,CHOIR ACADEMY OF HARLEM,15,365,347,375
05M499,FREDERICK DOUGLASS ACADEMY,192,441,447,437
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,84,403,403,398
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,47,363,345,341
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",82,613,659,593
06M293,CITY COLLEGE ACADEMY OF THE ARTS,82,427,467,426
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,56,369,362,366
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,91,413,419,404
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,s,s,s,s
06M457,GEORGE WASHINGTON YABC,s,s,s,s
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,58,380,390,380
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,59,360,365,361
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,97,371,359,361
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,85,369,384,370
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,208,433,445,418
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,59,357,362,346
