,High School,# of SAT Takers in 2014,Avg SAT Critical Reading Score in 2014,Avg SAT Math Scores in 2014,Avg SAT Writing Scores in 2014
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,242,436,471,431
20K490,FORT HAMILTON HIGH SCHOOL,758,428,490,428
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,366,413,499,398
20K658,FRANKLIN DELANO ROOSEVELT YABC,15,377,476,368
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,57,318,379,346
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,64,412,427,411
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,41,392,404,373
21K400,LAFAYETTE HS,s,s,s,s
21K410,ABRAHAM LINCOLN HIGH SCHOOL,397,404,432,402
21K411,ABRAHAM LINCOLN YABC & GED PROGRAM,s,s,s,s
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,54,454,472,443
21K525,EDWARD R. MURROW HIGH SCHOOL,758,460,485,452
21K540,JOHN DEWEY HIGH SCHOOL,382,400,471,394
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,44,381,374,390
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,61,376,391,360
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,72,374,398,360
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,114,429,454,425
21K728,LIBERATION DIPLOMA PLUS,6,448,450,447
22K405,MIDWOOD HIGH SCHOOL,795,492,539,487
22K425,JAMES MADISON HIGH SCHOOL,539,452,491,451
22K495,SHEEPSHEAD BAY HIGH SCHOOL,236,371,386,364
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,225,540,552,543
22K555,BROOKLYN COLLEGE ACADEMY,133,488,493,476
22K630,PROFESSIONAL PATHWAYS HIGH SCHOOL,s,s,s,s
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,52,370,378,371
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,52,379,382,360
23K643,BROOKLYN DEMOCRACY ACADEMY,s,s,s,s
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,s,s,s,s
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,s,s,s,s
23K697,TEACHERS PREPARATORY HIGH SCHOOL,57,380,404,389
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,106,435,469,442
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,58,399,409,401
24Q293,CIVIC LEADERSHIP ACADEMY,61,382,403,393
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,35,323,336,313
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,126,575,606,596
24Q455,NEWTOWN HIGH SCHOOL,279,381,411,372
24Q457,YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS,s,s,s,s
24Q485,GROVER CLEVELAND HIGH SCHOOL,180,397,425,393
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,386,389,379
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,90,355,407,356
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,150,395,390,380
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",78,435,437,433
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,185,415,439,402
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,423,455,514,447
24Q744,VOYAGES PREPARATORY,s,s,s,s
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",66,483,515,491
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,68,306,434,310
25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,79,459,509,437
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,73,470,442,468
25Q425,JOHN BOWNE HIGH SCHOOL,594,405,448,404
25Q460,FLUSHING HIGH SCHOOL,390,396,439,391
25Q467,FLUSHING YABC,5,436,388,366
25Q525,TOWNSEND HARRIS HIGH SCHOOL,281,626,655,640
25Q540,QUEENS ACADEMY HIGH SCHOOL,7,367,407,384
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,5,408,418,404
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,770,495,557,500
26Q430,FRANCIS LEWIS HIGH SCHOOL,816,473,547,475
26Q435,MARTIN VAN BUREN HIGH SCHOOL,270,411,416,406
26Q495,BAYSIDE HIGH SCHOOL,721,472,522,480
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",155,439,444,430
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,64,353,365,345
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,89,424,416,418
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",46,360,367,355
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,154,558,582,574
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,81,391,387,380
27Q323,SCHOLARS' ACADEMY,108,529,565,532
27Q400,AUGUST MARTIN HIGH SCHOOL,89,372,370,364
27Q410,BEACH CHANNEL HIGH SCHOOL,18,393,421,391
27Q465,FAR ROCKAWAY HS,s,s,s,s
27Q475,RICHMOND HILL HIGH SCHOOL,255,388,392,380
27Q487,JOHN ADAMS YABC & GED PROGRAM,23,380,379,375
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",208,442,476,436
28Q284,YORK EARLY COLLEGE ACADEMY,66,445,449,428
28Q350,JAMAICA GATEWAY TO THE SCIENCES,15,428,443,428
28Q440,FOREST HILLS HIGH SCHOOL,731,472,519,477
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68,426,417,436
29Q248,QUEENS PREPARATORY ACADEMY,75,386,395,391
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,43,414,396,404
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,80,403,395,399
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,78,440,455,418
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,70,414,400,394
29Q420,SPRINGFIELD GARDENS HS,11,391,404,381
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",60,412,426,397
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",34,409,411,397
29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",18,353,356,348
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,39,388,399,412
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",76,433,453,458
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,90,414,423,399
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,451,414,456,417
30Q450,LONG ISLAND CITY HIGH SCHOOL,451,418,441,418
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,155,523,531,522
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,150,424,436,407
30Q555,NEWCOMERS HIGH SCHOOL,129,334,464,349
30Q575,ACADEMY OF AMERICAN STUDIES,134,493,493,490
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,63,576,621,599
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,115,472,467,468
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,68,445,414,419
31R080,THE MICHAEL J. PETRIDES SCHOOL,77,491,507,469
31R440,NEW DORP HIGH SCHOOL,447,421,436,420
31R445,PORT RICHMOND HIGH SCHOOL,280,426,433,417
31R450,CURTIS HIGH SCHOOL,401,439,436,435
31R455,TOTTENVILLE HIGH SCHOOL,751,467,487,468
31R460,SUSAN E. WAGNER HIGH SCHOOL,551,472,484,466
31R470,CONCORD HIGH SCHOOL,s,s,s,s
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,75,425,440,404
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,292,646,684,649
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,15,429,419,414
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,45,342,352,328
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE-BUSHWICK,73,365,375,357
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,70,343,348,346
32K552,ACADEMY OF URBAN PLANNING,44,352,382,358
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,29,404,437,402
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,54,381,374,377
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,11,401,385,357
75M035,P.S. 035,s,s,s,s
75Q256,P.S. Q256,s,s,s,s
75Q811,P.S. Q811,55,424,427,409
75R025,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,5,428,386,374
76K460,JOHN JAY HS,s,s,s,s
79M973,RESTART ACADEMY,7,427,461,470
79X490,PHOENIX ACADEMY,10,347,379,312
84K356,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,40,413,474,460
84K359,UFT CHARTER SCHOOL,44,398,401,402
84K473,WILLIAMSBURG CHARTER SCHOOL,178,388,385,385
84K486,NEW DAWN CHARTER TRANSFER HS,21,367,339,377
84K693,BELIEVE NORTHSIDE CHARTER HIGH SCHOOL,89,385,382,386
84K694,BELIEVE SOUTHSIDE CHARTER HIGH SCHOOL,s,s,s,s
84M279,OPPORTUNITY CHARTER SCHOOL,33,363,341,354
84M350,DEMOCRACY PREP CHARTER SCHOOL,54,453,499,481
84M353,NEW HEIGHTS ACADEMY CHARTER SCHOOL,82,413,456,423
84M433,RENAISSANCE CHARTER HIGH SCHOOL FOR INNOVATION,60,363,360,354
84M522,BROOME STREET ACADEMY CHARTER SCHOOL,s,s,s,s
84M707,JOHN V. LINDSAY WILDCAT ACADEMY CHARTER SCHOOL,16,421,439,392
84M709,HARLEM VILLAGE ACADEMY CHARTER SCHOOL,40,480,511,466
84M726,KIPP STAR COLLEGE PREP CHARTER SCHOOL,160,416,456,423
84Q705,RENAISSANCE CHARTER SCHOOL,45,449,456,450
84X345,HYDE LEADERSHIP CHARTER SCHOOL,54,387,381,389
84X347,INTERNATIONAL LEADERSHIP CHARTER SCHOOL,61,410,408,416
84X393,GREEN DOT NEW YORK CHARTER SCHOOL,85,406,410,382
84X395,"NYC CHARTER HIGH SCHOOL FOR ARCHITECTURE, ENGINEERING AND CONSTRUCTION INDUSTRIES  (AECI)",94,357,366,356
84X553,NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANITIES,s,s,s,s
84X703,BRONX PREPARATORY CHARTER SCHOOL,59,415,420,401
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
